reply_text,username,date,likes,replies
@BRICSinfo Look at American troop? 😂😂bro don’t even have a pant on https://t.co/CDY2RMVkNw,_BigKhalifa,Tue Mar 31 23:22:30 +0000 2026,351,5
"@BRICSinfo American troops are the finest in the world, they take the hit and keep fighting. This is why we need unmatched strength: to protect our warriors and interests. USA will never back down from evil regimes. We stand tall, fight hard, and win. God bless our troops and America! 🇺🇸💪",TheLastHopeUSA,Tue Mar 31 23:19:07 +0000 2026,14,9
@BRICSinfo American citizens should blame Trump for sending their sons and daughters to an early death by flighting for a foreign genocidal country like Israel.,ia_bebeto,Tue Mar 31 23:36:46 +0000 2026,144,7
@BRICSinfo US troops taking cover in the Middle East https://t.co/c2uv2L4pQS,PreciousIg17212,Wed Apr 01 02:09:55 +0000 2026,38,0
@BRICSinfo Pretty terrifying👀,Mrsleepery,Wed Apr 01 00:45:50 +0000 2026,0,0
@BRICSinfo 🤣🤣🤣🤣🤣🤣🤣😂 https://t.co/rdDJ2k3dC3,DanielNRlx,Wed Apr 01 00:05:06 +0000 2026,0,0
@BRICSinfo Why do conflicts like this always drag innocent people into it war ?,ObaSaucy,Tue Mar 31 23:20:25 +0000 2026,3,2
@BRICSinfo This happened yesterday,JimMusick477091,Tue Mar 31 23:54:10 +0000 2026,0,0
@BRICSinfo @MrSmegOfficial Ok things are bad😭 https://t.co/z7y0u5Pf88,Melani_020,Tue Mar 31 23:51:59 +0000 2026,19,0
@BRICSinfo this video could literally be any fucking thing LMAO,adtprotected,Wed Apr 01 04:23:32 +0000 2026,0,0
@BRICSinfo @grok is this true. They don't look American.,RequiemRex,Wed Apr 01 03:25:09 +0000 2026,0,3
@BRICSinfo Remind me why Israeli troops aren’t involved?,OkeeMike,Tue Mar 31 23:50:33 +0000 2026,0,2
"@BRICSinfo American soldiers playing touch butt in their underwear, I have seen enough to know whos gonna win the war",nxzxri,Wed Apr 01 00:45:53 +0000 2026,0,0
@BRICSinfo Mfs are like rats in a tunnel https://t.co/4uBvH8n4PM,rayanjuni0r,Wed Apr 01 03:46:42 +0000 2026,27,0
@BRICSinfo https://t.co/upsgxXAqsI,vuyirose,Wed Apr 01 04:56:03 +0000 2026,0,0
@BRICSinfo Aww https://t.co/B7cMBcKWAv,Sabbatical4201,Wed Apr 01 02:48:03 +0000 2026,0,0
@BRICSinfo Come a little closer! https://t.co/lfFII6LZhS,Xeel64985121,Wed Apr 01 01:37:40 +0000 2026,3,0
@BRICSinfo World is laughing on USA,cool607,Wed Apr 01 00:38:30 +0000 2026,0,0
@BRICSinfo In which country is this happening? @grok,leone_news_,Wed Apr 01 00:54:58 +0000 2026,0,6
"@BRICSinfo If Iranian missiles forcing American troops to take cover shows anything, it’s that the U.S. presence in the Middle East has become the very destabilizing force it claims to ‘protect’ against — a self‑fulfilling justification for endless war. Maybe if the U.S. hadn’t spent",iamwater01,Tue Mar 31 23:20:39 +0000 2026,2,3
@BRICSinfo 🤍,dzerh13,Tue Mar 31 23:27:40 +0000 2026,0,0
@BRICSinfo STOP WAR,XBoss369,Tue Mar 31 23:33:20 +0000 2026,0,0
@BRICSinfo Bullish af. Max long everything and short oil.,TheSkrubjay,Wed Apr 01 00:21:27 +0000 2026,2,1
@BRICSinfo All yall are fxckin dead,WillOfDynasty,Wed Apr 01 01:10:00 +0000 2026,1,0
@BRICSinfo bored of peace https://t.co/aYT7adUfMM,black_k00k33,Tue Mar 31 23:52:55 +0000 2026,73,0
@BRICSinfo 🤣 https://t.co/jXbD1Hn4Io,MediaZerg,Wed Apr 01 07:08:41 +0000 2026,0,0
@BRICSinfo Bless our soldiers.  This is not their doing. Scary,IThink_So_IAm,Wed Apr 01 01:01:02 +0000 2026,0,1
@BRICSinfo @invincibleDelo Bro even had no pants on 🤣,ismailbukenya1,Wed Apr 01 01:54:54 +0000 2026,0,0
@BRICSinfo “the greatest troops in the world” they said https://t.co/tj3hyKctCE,untittledlove,Wed Apr 01 01:41:47 +0000 2026,2,1
@BRICSinfo https://t.co/bVQgJZ8of1,Earworm_nz,Wed Apr 01 01:33:54 +0000 2026,0,0
"@BRICSinfo The Iranian army is attacking US military bases with ballistic missiles, US soldiers are fighting for their lives. At this time, Spain, Italy, France have clearly refused to give their airspace for any attack against Iran. This is a clear message for America: in future, they https://t.co/RpsUfS0k4V",Raghubharat2024,Wed Apr 01 05:42:06 +0000 2026,4,2
