reply_text,username,date,likes,replies
"The Burj Al Arab, an iconic luxury five-star hotel in Dubai, is currently on fire after being struck by a one-way attack drone in the most recent wave of attacks by Iran against the United Arab Emirates. https://t.co/bZynOnGfxc",sentdefender,Sat Feb 28 22:11:47 +0000 2026,4838,157
@sentdefender Iran views the UAE and Dubai by extension as a legitimate target because of its hosting of U.S. military facilities. It's only a matter of time before they strike Burj Khalifa.......,World_At_War_6,Sat Feb 28 22:17:39 +0000 2026,36,0
@sentdefender Is Iran attacking them just because they have some US troops in the country? Perhaps it's more about destroying the region #IranWar,bowling23,Sat Feb 28 23:06:43 +0000 2026,4,0
@sentdefender That’s so scary. Will they respond?,suburbancrypto,Sat Feb 28 22:33:40 +0000 2026,1,0
@sentdefender what a two-way attack drone?,cavemanloverboy,Sun Mar 01 02:30:05 +0000 2026,0,1
"@sentdefender Burj Al Arab is the world’s only 7 star hotel.  

It’s quite a site. Comment if you’ve been. https://t.co/mkxewHE32F",Ceo_Branding,Sun Mar 01 13:42:34 +0000 2026,0,1
@sentdefender Iran bombing the landmarks of their fellow Muslim nations to stick it to… the Jews?,Dan_Zmann,Sat Feb 28 22:12:46 +0000 2026,194,5
@sentdefender So… Iran is targeting civilians?,Maccabee18,Sat Feb 28 22:12:15 +0000 2026,115,11
@sentdefender UAE just spent the past decade trying to turn itself into an attractive tax haven for the rich only to wake up to find that all that effort has gone down the drain,0Yqxing,Sun Mar 01 00:02:24 +0000 2026,44,1
"@sentdefender If the Burj Al Arab is actually on fire from a confirmed drone strike, that’s not a sideshow, that’s a major escalation into high-visibility civilian infrastructure. But slow the adrenaline. In active air defense environments, intercepted drones and missile debris can cause",Dan_Brisbois,Sat Feb 28 22:15:18 +0000 2026,27,4
"@sentdefender IRGC targetting SYMBOLS and PRIDE of UAE! 
I hope UAE forces will respond with force and join US/IDF forces to end IRGC for good",dnyboiBTC,Sat Feb 28 22:12:35 +0000 2026,35,7
"@sentdefender @MaxNordau 5 star. 6 star. 7 star

jfc w these accounts https://t.co/IH8uLhTMbv",DirtysBurner,Sat Feb 28 22:53:48 +0000 2026,30,3
"@sentdefender ""the safest place on earth""",soulsocketXBT,Sat Feb 28 22:22:37 +0000 2026,27,0
"@sentdefender The most recognizable building in the Gulf is on fire. This isn’t a regional conflict anymore. It’s a global image. Every investor, every airline, every government watching this just recalculated their risk. Trump’s weekend war has no walls.",HeatherK9070,Sat Feb 28 22:35:55 +0000 2026,15,2
@sentdefender The Iranian terror regime  loves attacking fellow Muslim countries,Eden_Shaul02,Sat Feb 28 22:13:33 +0000 2026,21,0
@sentdefender This is devastating to watch. Hopefully no one gets hurt https://t.co/BXyMIj1UFx,OmasholaSagay,Sat Feb 28 22:15:48 +0000 2026,15,0
@sentdefender I hope UAE will mobilize to help take out the rest of the IRGC trash,theemetris,Sat Feb 28 22:22:46 +0000 2026,15,0
"@sentdefender Actually, reports as of now say the fire in Dubai was at a hotel on Palm Jumeirah after intercepted Iranian missiles/drones caused debris to fall — not confirmed at the Burj Al Arab. The UAE’s defenses have been actively intercepting attacks, but some debris still caused damage",ADropster17313,Sat Feb 28 22:15:50 +0000 2026,10,3
"@sentdefender Those IG prostitute should go off themselves lmao.
A shit hole place with so much sins condense into one place deserve to be bombed https://t.co/FcZxqhLrqH",dirtyandshaggy,Sun Mar 01 07:07:11 +0000 2026,6,0
@sentdefender Incorrect. uAE has already issued a statement- debris from a intercepted missile. NO direct attack on the hotel. Why spread misinfo esp at these times? Deliberate?,Ab83126691,Sun Mar 01 05:41:16 +0000 2026,2,0
@sentdefender United Arab Emirates going through all of these.... SMH,kingwizzi_tweet,Sat Feb 28 22:24:08 +0000 2026,2,0
"@sentdefender To be fair, no one actually likes Dubai. It's overpriced and it's filled with annoying people trying to be Instagram famous. Thank you Iran for destroying influence or shithole Dubai.",Monarchist1642,Sun Mar 01 19:32:55 +0000 2026,2,0
"@sentdefender Subtitle: ""The world suddenly cares about shaheds blowing up buildings full of civilians.""
Sub-subtitle: ""The world suddenly finds out about shaheds blowing up buildings full of civilians."" https://t.co/05fYT5Xl54",phillyphella,Sun Mar 01 00:13:58 +0000 2026,3,0
@sentdefender https://t.co/v3An9DWu4g,kalaamouh_nd,Sat Feb 28 22:12:19 +0000 2026,3,0
@sentdefender Seven star 🌟,GaryMcleft,Sat Feb 28 22:38:53 +0000 2026,3,0
@sentdefender IRGC doesn’t give a fuck anymore after their leader died,DJBombba,Sat Feb 28 22:12:30 +0000 2026,3,0
@sentdefender @grok Why did Iran target Burj Al Arab in its latest wave of attacks against the United Arab Emirates?,CryptoAriii,Sat Feb 28 22:28:43 +0000 2026,2,2
@sentdefender https://t.co/q4IzIJ48zG,51marine1,Sat Feb 28 22:14:01 +0000 2026,2,0
@sentdefender 7 star?,GethinDaviesNew,Sat Feb 28 22:12:56 +0000 2026,2,0
@sentdefender This is mad. The UAE crowd are being made to look like cucks.,OchoBaller,Sat Feb 28 22:21:49 +0000 2026,2,0
@sentdefender It's called karma. The UAE actively supports Iran's closest allies—russian terrorists.,notsoblackcatt,Sat Feb 28 22:13:58 +0000 2026,2,0
